ID,VISITA,MES,FECHA,SATISFACCION_INFOR,SATISFACCION_RECORRIDO,SATISFACCION_GUIA,SATISFACCION_GLOBAL,LO_MEJOR,LO_PEOR,OPINION,SUGERENCIAS,SATISFACCION_PROMEDIO
9,LA HISTORIA IMPRESCINDIBLE DE MADRID,JULIO,2023-07-14T00:00:00.000+02:00,10,10,10,10,El cuidado en el trato,Sin comentarios,Mejor de lo que esperaba,,10.0
2,MADRID HISTÓRICO,MARZO,2023-03-03T00:00:00.000+01:00,10,10,10,10,El entender la historia,Sin comentarios,Como esperaba,,10.0
6,MADRID EN FEMENINO,ABRIL,2023-04-08T00:00:00.000+02:00,10,5,4,4,El grupo,El guia,Peor de lo que esperaba,No,6.333333333333333
12,MADRID EN FEMENINO,JUNIO,2023-06-17T00:00:00.000+02:00,9,10,10,10,El guia,Sin comentarios,Mejor de lo que esperaba,,9.666666666666666
22,LA HISTORIA IMPRESCINDIBLE DE MADRID,OCTUBRE,2023-10-14T00:00:00.000+02:00,9,9,9,9,El guía muy ameno y agradable,Nada,Mejor de lo que esperaba,Realizar más visitas de los distintos barrios  y visitar los edificios más emblemáticos a lo largo de todo el año,9.0
23,MADRID MONUMENTAL,JULIO,2023-07-28T00:00:00.000+02:00,10,10,10,10,,Edificios históricos,Como esperaba,,10.0
26,LA HISTORIA IMPRESCINDIBLE DE MADRID,OCTUBRE,2023-10-14T00:00:00.000+02:00,10,9,10,10,"El guía, muy buena explicación",Nada,Mejor de lo que esperaba,Ninguna,9.666666666666666
25,LA HISTORIA IMPRESCINDIBLE DE MADRID,OCTUBRE,2023-10-14T00:00:00.000+02:00,10,10,10,10,El guia. Excelente.,Todo bien,Como esperaba,Incluir alguna visita,10.0
5,MADRID HISTÓRICO,FEBRERO,2023-02-10T00:00:00.000+01:00,10,10,10,10,,Sin comentarios,Como esperaba,,10.0
13,MADRID EN FEMENINO,JULIO,2023-07-15T00:00:00.000+02:00,10,8,7,8,El horario,Me resultó breve las explicaciones,Como esperaba,,8.333333333333334
36,MADRID EN FEMENINO,SEPTIEMBRE,2023-09-30T00:00:00.000+02:00,9,7,9,9,El itinerario,Sin comentarios,Mejor de lo que esperaba,,8.333333333333334
8,LA LATINA Y EL MUSEO DE LOS ORIGENES,OCTUBRE,2023-10-07T00:00:00.000+02:00,10,10,10,10,El museo,Nada,Como esperaba,Hacer mas recorridos por otras partes de la ciudad,10.0
24,MADRID MONUMENTAL,SEPTIEMBRE,2023-09-17T00:00:00.000+02:00,10,10,10,10,El museo,Nada,Mejor de lo que esperaba,Latina,10.0
"\"",,,,,,,,,Sin comentarios,,,
13,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guia,Peor de lo que esperaba,,3.3333333333333335
14,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
15,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
16,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
17,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
18,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
1,LA LATINA Y EL MUSEO DE LOS ORIGENES,JULIO,2023-07-02T00:00:00.000+02:00,10,10,10,10,El museo,Nada,Mejor de lo que esperaba,Nada,10.0
19,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
37,LA LATINA Y EL MUSEO DE LOS ORIGENES,OCTUBRE,2023-10-22T00:00:00.000+02:00,10,10,10,10,El museo,Nada,Mejor de lo que esperaba,Seguir con más itinerarios,10.0
1,MADRID HISTÓRICO,MARZO,2023-03-03T00:00:00.000+01:00,4,7,7,7,,Sin comentarios,Como esperaba,,6.0
23,MADRID MONUMENTAL,SEPTIEMBRE,2023-09-17T00:00:00.000+02:00,10,10,10,10,El museo,Nado. Todo me gustó,Mejor de lo que esperaba,Sigan asi,10.0
17,LA LATINA Y EL MUSEO DE LOS ORIGENES,JUNIO,2023-06-23T00:00:00.000+02:00,9,9,10,10,El museo de los orígenes,Nada,Mejor de lo que esperaba,,9.333333333333334
1,SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO,ABRIL,2023-04-07T00:00:00.000+02:00,10,9,10,9,,Sin comentarios,Como esperaba,,9.666666666666666
20,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,Cambiar al guía,3.3333333333333335
15,LA LATINA Y EL MUSEO DE LOS ORIGENES,NOVIEMBRE,2023-11-19T00:00:00.000+01:00,9,8,9,8,El museo de los orígenes,Nada,Mejor de lo que esperaba,Ninguna,8.666666666666666
16,LA LATINA Y EL MUSEO DE LOS ORIGENES,NOVIEMBRE,2023-11-19T00:00:00.000+01:00,10,10,10,10,El pozo de Madrid y el patio del Museo,Que hay que ir andando,Mejor de lo que esperaba,Que pueden dar una botella de agua pequeña a los turistas,10.0
33,MADRID EN FEMENINO,SEPTIEMBRE,2023-09-30T00:00:00.000+02:00,6,8,9,6,El recogido,Sin comentarios,Mejor de lo que esperaba,No tengo sugerencias,7.666666666666667
35,MADRID EN FEMENINO,SEPTIEMBRE,2023-09-30T00:00:00.000+02:00,7,8,8,6,El recorrido,Sin comentarios,Mejor de lo que esperaba,,7.666666666666667
22,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
23,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,0,0,0,,El guía,Peor de lo que esperaba,,3.3333333333333335
4,LA HISTORIA IMPRESCINDIBLE DE MADRID,SEPTIEMBRE,2023-09-08T00:00:00.000+02:00,10,10,10,10,El recorrido,No ha habido nada que ni me haya gustado,Como esperaba,No tengo sugerencias,10.0
23,LA NUEVA PLAZA DE ESPAÑA,AGOSTO,2023-08-13T00:00:00.000+02:00,7,9,7,7,El recorrido de la visita,Sin comentarios,Mejor de lo que esperaba,,7.666666666666667
5,CERVANTES Y LAS LETRAS,ENERO,2023-01-15T00:00:00.000+01:00,10,10,10,10,en general,Sin comentarios,Mejor de lo que esperaba,,10.0
18,MUJERES QUE HAN HECHO HISTORIA EN MADRID,OCTUBRE,2023-10-13T00:00:00.000+02:00,10,10,10,10,"Entusiasmo, calidad y explicación de Cristian",Nada,Mejor de lo que esperaba,Aumentar un poco más el cupo del grupo,10.0
21,LA NUEVA PLAZA DE ESPAÑA,NOVIEMBRE,2023-11-24T00:00:00.000+01:00,10,10,10,10,Experiencia Guia,"No he visto nada, que no me guste",Mejor de lo que esperaba,No,10.0
19,LA LATINA Y EL MUSEO DE LOS ORIGENES,JUNIO,2023-06-23T00:00:00.000+02:00,10,10,10,10,Explicación,Sin comentarios,Mejor de lo que esperaba,,10.0
6,MUJERES QUE HAN HECHO HISTORIA EN MADRID,NOVIEMBRE,2023-11-10T00:00:00.000+01:00,10,10,10,10,Explicación de la guia,Nada,Mejor de lo que esperaba,,10.0
6,CERVANTES Y LAS LETRAS,ENERO,2023-01-15T00:00:00.000+01:00,10,10,10,10,,"Me ha gustado todo, lo más importante para mi⁷ es que hay intérprete",Mejor de lo que esperaba,Cosas mejorar,10.0
9,LA LATINA Y EL MUSEO DE LOS ORIGENES,OCTUBRE,2023-10-07T00:00:00.000+02:00,8,8,9,8,Explicación de la guía,Nada que decir,Como esperaba,Ninguna,8.333333333333334
8,HISTORIAS Y LEYENDAS DE MADRID,Mayo,2023-05-27T00:00:00.000+02:00,10,9,10,8,Explicación del guía ,Sin comentarios,Como esperaba,,9.666666666666666
3,MADRID HISTÓRICO,FEBRERO,2023-02-05T00:00:00.000+01:00,9,9,9,10,Explicaciones del guía,Sin comentarios,Mejor de lo que esperaba,,9.0
10,MADRID HISTÓRICO,FEBRERO,2023-02-18T00:00:00.000+01:00,10,10,10,10,Explicaciones guía,Sin comentarios,Mejor de lo que esperaba,,10.0
25,TRADICIONES NAVIDEÑAS CON ILSE,DICIEMBRE,2023-12-01T00:00:00.000+01:00,10,10,10,10,Explicaciones muy claras,No hay visitas a interiores,Mejor de lo que esperaba,Visitas a imteriores,10.0
3,LA LATINA Y EL MUSEO DE LOS ORIGENES,NOVIEMBRE,2023-11-05T00:00:00.000+01:00,7,8,7,7,Faro republica,Sin comentarios,Mejor de lo que esperaba,,7.333333333333333
6,MADRID EN FEMENINO,JULIO,2023-07-08T00:00:00.000+02:00,10,10,10,10,"Forma de explicar, curiosidades",Muy corto 2 horas,Mejor de lo que esperaba,,10.0
29,LA LATINA Y EL MUSEO DE LOS ORIGENES,SEPTIEMBRE,2023-09-24T00:00:00.000+02:00,10,9,9,9,Grupo reducido. Guía bueno,Todo bien,Como esperaba,"Visitas en más días de la semana. Más visitas al público en general, con más cupo",9.333333333333334
14,LA HISTORIA IMPRESCINDIBLE DE MADRID,AGOSTO,2023-08-11T00:00:00.000+02:00,10,10,10,10,Guesta mas,Gusta mas,Mejor de lo que esperaba,,10.0
32,LA NUEVA PLAZA DE ESPAÑA,OCTUBRE,2023-10-21T00:00:00.000+02:00,10,10,10,10,Guia,Todo nos ha gustado,Mejor de lo que esperaba,,10.0
2,HISTORIAS Y LEYENDAS DE MADRID,NOVIEMBRE,2023-11-03T00:00:00.000+01:00,10,10,10,10,Guia con conocimientos,El tiempo,Mejor de lo que esperaba,,10.0
6,CERVANTES Y LAS LETRAS,Mayo,2023-05-26T00:00:00.000+02:00,10,10,10,10,Guía muy informada y llena de conocimiento ,Nada ,Mejor de lo que esperaba,,10.0
5,MADRID EN FEMENINO,Mayo,2023-05-20T00:00:00.000+02:00,10,10,10,10,"Ha sido muy ameno, el guía lo ha explicado muy bien",Sin comentarios,Mejor de lo que esperaba,,10.0
31,SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO,ABRIL,2023-04-29T00:00:00.000+02:00,10,9,8,9,,Sin comentarios,Como esperaba,,9.0
26,LA LATINA Y EL MUSEO DE LOS ORIGENES,JULIO,2023-07-30T00:00:00.000+02:00,10,10,10,10,Historia de La Latina,Sin comentarios,Mejor de lo que esperaba,Nuevas rutas,10.0
24,TRADICIONES NAVIDEÑAS CON ILSE,DICIEMBRE,2023-12-01T00:00:00.000+01:00,10,10,10,10,Historias,Nada,Mejor de lo que esperaba,Más explicaciones,10.0
14,MADRID HISTÓRICO,Mayo,2023-05-28T00:00:00.000+02:00,10,10,9,10,Iglesia de San Nicolás ,Sin comentarios,Mejor de lo que esperaba,Entrar en Monasterio Descalzas Reales,9.666666666666666
5,"LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD",DICIEMBRE,2023-12-10T00:00:00.000+01:00,10,10,10,10,Interesantes historias. La guia muy empatica con las personas con movilidad reducida.,Nada,Como esperaba,Más actividades turisticas inclusivas para personas con diversidad funcional.,10.0
13,LA NUEVA PLAZA DE ESPAÑA,OCTUBRE,2023-10-08T00:00:00.000+02:00,9,8,8,8,Itinerario,Nada,Como esperaba,,8.333333333333334
12,MADRID EN FEMENINO,ABRIL,2023-04-15T00:00:00.000+02:00,10,10,10,10,La amabilidad y la paciencia del guía,Nada. Todo muy interesante,Mejor de lo que esperaba,Cambiar al guía,10.0
11,LA HISTORIA IMPRESCINDIBLE DE MADRID,ENERO,2023-01-22T00:00:00.000+01:00,7,7,7,7,La bomba a Alfonso XII,Sin comentarios,Como esperaba,,7.0
11,MADRID EN FEMENINO,JUNIO,2023-06-17T00:00:00.000+02:00,10,10,10,10,La cerda,Nada,Mejor de lo que esperaba,El calor,10.0
1,MADRID HISTÓRICO,Mayo,2023-05-05T00:00:00.000+02:00,10,10,10,10,La claridad de las indicaciones ,Nada que comentar,Mejor de lo que esperaba,,10.0
24,MADRID HISTÓRICO,ABRIL,2023-04-23T00:00:00.000+02:00,10,10,10,10,"La claridad del guía, la oferta de recorridos y la información dada por el personal de la oficina",Nada,Mejor de lo que esperaba,Incluir a personajes menos conocidos.,10.0
2,EL RATONCITO PEREZ Y MADRID,ENERO,2023-01-08T00:00:00.000+01:00,10,10,10,10,La de cosas que he conocido y que estaban a mi alrededor,Qué haya tan pocas,,,10.0
;Mejor de lo que esperaba;Qué hagan más para todos los públicos y todas las edadrs,,,,,,,,,Sin comentarios,,,
6,MADRID EN FEMENINO,JUNIO,2023-06-10T00:00:00.000+02:00,9,9,8,8,La explicacion,Sin comentarios,Como esperaba,,8.666666666666666
25,MADRID EN FEMENINO,ABRIL,2023-04-28T00:00:00.000+02:00,10,10,10,10,La explicacion,Me ha gustado todo,Mejor de lo que esperaba,,10.0
30,SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO,ABRIL,2023-04-29T00:00:00.000+02:00,10,9,10,9,La explicación,La tardanza en la iglesia,Como esperaba,,9.666666666666666
11,LA NUEVA PLAZA DE ESPAÑA,OCTUBRE,2023-10-08T00:00:00.000+02:00,10,10,10,10,La explicación de la Plaza de Ramales,Nada,Mejor de lo que esperaba,,10.0
1,MADRID HISTÓRICO,FEBRERO,2023-02-03T00:00:00.000+01:00,10,10,10,10,La explicaciones del guía,Nada,Como esperaba,,10.0
3,TRADICIONES NAVIDEÑAS,DICIEMBRE,2023-12-02T00:00:00.000+01:00,10,10,10,10,La explicaciones y el carácter afable de Jorge,Las inevitables aglomeraciones a lo largo del recorrido,Como esperaba,No tengo ninguna sugerencia,10.0
14,LA NUEVA PLAZA DE ESPAÑA,JULIO,2023-07-16T00:00:00.000+02:00,10,8,8,8,La explicacioní,El calor,Mejor de lo que esperaba,,8.666666666666666
21,LA HISTORIA IMPRESCINDIBLE DE MADRID,OCTUBRE,2023-10-14T00:00:00.000+02:00,7,10,10,10,La exposición del guía,0,Como esperaba,Apertura a más público,9.0
4,LA LATINA Y EL MUSEO DE LOS ORIGENES,NOVIEMBRE,2023-11-05T00:00:00.000+01:00,10,10,10,10,La exposición Plaza Oriente y jardines de Lepanto,Restos palacio de Godoy no se ven nada bien,Mejor de lo que esperaba,,10.0
20,LA HISTORIA IMPRESCINDIBLE DE MADRID,OCTUBRE,2023-10-14T00:00:00.000+02:00,8,10,10,10,La exposición que ha dado el guía y sus conocimientos,Nada,Mejor de lo que esperaba,MUJERES QUE HAN HECHO HISTORIA EN LA CIUDAD DE MADRID,9.333333333333334
30,COMPRAS TÍPICAS DE NAVIDAD,DICIEMBRE,2023-12-08T00:00:00.000+01:00,10,10,10,10,La guia,Sin comentarios,Como esperaba,,10.0
8,LA HISTORIA IMPRESCINDIBLE DE MADRID,ABRIL,2023-04-14T00:00:00.000+02:00,10,10,10,10,La guia,Nada,Mejor de lo que esperaba,,10.0
7,MADRID EN FEMENINO,JUNIO,2023-06-10T00:00:00.000+02:00,10,10,10,10,,Sin comentarios,Mejor de lo que esperaba,,10.0
6,LA NUEVA PLAZA DE ESPAÑA,AGOSTO,2023-08-04T00:00:00.000+02:00,10,10,10,10,La guia,Nada,Mejor de lo que esperaba,,10.0
30,LA HISTORIA IMPRESCINDIBLE DE MADRID,NOVIEMBRE,2023-11-26T00:00:00.000+01:00,10,10,10,10,La guía,Se me ha hecho corto,Mejor de lo que esperaba,,10.0
7,LA LATINA Y EL MUSEO DE LOS ORIGENES,OCTUBRE,2023-10-07T00:00:00.000+02:00,10,8,10,10,La guía,La guía,Mejor de lo que esperaba,No,9.333333333333334
26,MADRID EN FEMENINO,ABRIL,2023-04-28T00:00:00.000+02:00,10,7,8,8,"La guía ha explicado de forma muy amena, datos poco conocidos como las Sinsombrero",Recorrido algo breve y conocido,Mejor de lo que esperaba,Altavoz,8.333333333333334
18,MADRID EN FEMENINO,AGOSTO,2023-08-12T00:00:00.000+02:00,10,10,10,10,La Guía ha hecho un recorrido muy ameno.  Ha mezclado historias de mujeres con historia de monumentos y ha sido muy interesante.,Hacía mucho calor desde las 11: 00,Mejor de lo que esperaba,Que la ruta empiece antes para que no haga calor,10.0
7,MADRID HISTÓRICO,FEBRERO,2023-02-18T00:00:00.000+01:00,10,10,10,10,"La guia magnifica, ha hecho aun mejor la visita",Sin comentarios,Mejor de lo que esperaba,,10.0
5,MUJERES QUE HAN HECHO HISTORIA EN MADRID,NOVIEMBRE,2023-11-10T00:00:00.000+01:00,10,10,10,10,"La guía turística, muy profesional y dinámica",Nada que reseñar,Mejor de lo que esperaba,,10.0
11,MADRID HISTÓRICO,FEBRERO,2023-02-18T00:00:00.000+01:00,9,8,10,9,La guía xxxx y la información,Nada,Mejor de lo que esperaba,"Más información del recorrido por la web , que se envíe por correo  antes del recorrido",9.0
9,"LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD",DICIEMBRE,2023-12-10T00:00:00.000+01:00,10,10,10,10,La guía y la facilidad para redervar,La guía y la facilidad de reserva,Mejor de lo que esperaba,Seguir asi,10.0
3,MADRID EN FEMENINO,Mayo,2023-05-13T00:00:00.000+02:00,10,10,10,10,La guía ,Nada,Mejor de lo que esperaba,,10.0
8,LA HISTORIA IMPRESCINDIBLE DE MADRID,JULIO,2023-07-14T00:00:00.000+02:00,10,10,10,10,"La guia, como lo explica y como se adapta.",Podria empezar a las 9 30,Mejor de lo que esperaba,"Podria empezar antes sobre las 9 30, hace mucha xalor para terminar a las 12.",10.0
20,LA NUEVA PLAZA DE ESPAÑA,NOVIEMBRE,2023-11-24T00:00:00.000+01:00,10,10,10,10,"La guía, Marta",Sin comentarios,Mejor de lo que esperaba,,10.0
6,"LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD",DICIEMBRE,2023-12-10T00:00:00.000+01:00,10,10,10,10,"La guía, muy atenta y amable",La multitud de gente,Mejor de lo que esperaba,No,10.0
27,LA HISTORIA IMPRESCINDIBLE DE MADRID,NOVIEMBRE,2023-11-26T00:00:00.000+01:00,10,10,10,10,La guia.  Profesional y divertida. Tiene muchos conocimientos,Nada que destacar,Mejor de lo que esperaba,Ninguna,10.0
5,LA NUEVA PLAZA DE ESPAÑA,AGOSTO,2023-08-04T00:00:00.000+02:00,10,10,10,10,La guía. Su humor y que contextualiza cada dato,Nada,Mejor de lo que esperaba,,10.0
4,LA NUEVA PLAZA DE ESPAÑA,AGOSTO,2023-08-04T00:00:00.000+02:00,10,10,10,10,"La guia.Marta, es una guía muy atenta y con mucho humor y rigor.",Nada.,Mejor de lo que esperaba,,10.0
12,HISTORIAS Y LEYENDAS DE MADRID,Mayo,2023-05-27T00:00:00.000+02:00,10,10,10,10,"La historia de la princesa de Éboli. El guía lo ha hecho muy ameno, agradable, simpático e incluso ha añadido más de lo que estaba establecido ",Sin comentarios,Mejor de lo que esperaba,,10.0
14,MADRID EN FEMENINO,JUNIO,2023-06-17T00:00:00.000+02:00,10,10,10,10,La historia de Madrid a través de los siglos,El calor,Mejor de lo que esperaba,,10.0
1,HISTORIAS Y LEYENDAS DE MADRID,OCTUBRE,2023-10-06T00:00:00.000+02:00,10,10,10,10,La historia y cultura,Todo me ha gustado,Mejor de lo que esperaba,Más visitas,10.0
15,LA LATINA Y EL MUSEO DE LOS ORIGENES,JULIO,2023-07-21T00:00:00.000+02:00,10,8,8,8,La información,El tiempo,Como esperaba,,8.666666666666666
7,LA HISTORIA IMPRESCINDIBLE DE MADRID,JULIO,2023-07-14T00:00:00.000+02:00,10,9,9,9,,Sin comentarios,Mejor de lo que esperaba,,9.333333333333334
22,MADRID MONUMENTAL,JULIO,2023-07-28T00:00:00.000+02:00,10,9,9,9,La información,Me ha faltado un pelín de contextualización de las epocas,Mejor de lo que esperaba,Hacer más temáticas!! Están chulisimas,9.333333333333334
32,MADRID EN FEMENINO,SEPTIEMBRE,2023-09-30T00:00:00.000+02:00,9,8,10,8,La información,Repetición de otra visita,Mejor de lo que esperaba,Unificar ruta,9.0
10,MADRID EN FEMENINO,JULIO,2023-07-15T00:00:00.000+02:00,10,10,10,10,,Sin comentarios,Mejor de lo que esperaba,,10.0
7,HISTORIAS Y LEYENDAS DE MADRID,NOVIEMBRE,2023-11-18T00:00:00.000+01:00,10,10,10,10,La leyenda de los gatos,La leyenda de la cruz porque decapitan,Mejor de lo que esperaba,Continuar en el año 2024,10.0
16,MADRID EN FEMENINO,JUNIO,2023-06-17T00:00:00.000+02:00,9,10,10,10,La manera de explicar del guía,El calor,Mejor de lo que esperaba,"En algunos puntos, por el ruido acústico de los coches, no se oía del todo bien o bajito",9.666666666666666
7,LA HISTORIA IMPRESCINDIBLE DE MADRID,ABRIL,2023-04-14T00:00:00.000+02:00,10,10,10,10,La monitora extraordinaria,Todo me ha encantado,Mejor de lo que esperaba,Mejor realizarlo en diario,10.0
1,HISTORIAS Y LEYENDAS DE MADRID,NOVIEMBRE,2023-11-03T00:00:00.000+01:00,7,9,8,7,La muralla,Calle pasa,Peor de lo que esperaba,Rutas Sierra madrid,8.0
5,LA HISTORIA IMPRESCINDIBLE DE MADRID,SEPTIEMBRE,2023-09-08T00:00:00.000+02:00,10,10,10,10,La muralla,Me ha gustado todo,Como esperaba,No tengo,10.0
25,MUJERES QUE HAN HECHO HISTORIA EN MADRID,NOVIEMBRE,2023-11-25T00:00:00.000+01:00,10,10,10,10,La narración de la guia,Se me ha hecho corta,Mejor de lo que esperaba,Que se realicen más visitas de este tipo y se haga más difusión de las musmas,10.0
28,LA HISTORIA IMPRESCINDIBLE DE MADRID,NOVIEMBRE,2023-11-26T00:00:00.000+01:00,10,10,10,10,La narración de la guia alexasandra  muy bien,Que se me ha hecho corta la visita,Mejor de lo que esperaba,Organizar más visitas guiadas de este tipo de historia de Madrid.,10.0
2,MADRID HISTÓRICO,Mayo,2023-05-05T00:00:00.000+02:00,10,10,10,10,La pedagogía de la explicación y ruta,"Nada,todo ha sido positivo",Mejor de lo que esperaba,,10.0
19,MADRID MONUMENTAL,JULIO,2023-07-28T00:00:00.000+02:00,10,9,9,9,,Sin comentarios,Como esperaba,,9.333333333333334
10,MADRID EN FEMENINO,AGOSTO,2023-08-05T00:00:00.000+02:00,10,10,10,10,La plaza de la villa y su explicación desde 1400 a 1700.,La Calle Arenal sin Placa a Dña. Ma. Isidro de Guzmán y Lacerda,Mejor de lo que esperaba,Más días con intérprete de lengua de signos.,10.0
4,MADRID HISTÓRICO,FEBRERO,2023-02-05T00:00:00.000+01:00,10,10,10,10,La profesionalidad de la guía,Sin comentarios,Mejor de lo que esperaba,,10.0
1,MADRID MONUMENTAL,JUNIO,2023-06-02T00:00:00.000+02:00,10,10,10,10,La visita en general,Sin comentarios,Mejor de lo que esperaba,,10.0
24,LA NUEVA PLAZA DE ESPAÑA,NOVIEMBRE,2023-11-24T00:00:00.000+01:00,10,10,10,10,La voz clara de la guía. El recorrido.,Los ladronzuelos.,Mejor de lo que esperaba,"Palacios, jardines, pueblos históricos.",10.0
24,SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO,JULIO,2023-07-30T00:00:00.000+02:00,10,10,10,10,,Sin comentarios,Como esperaba,,10.0
26,MADRID MONUMENTAL,SEPTIEMBRE,2023-09-22T00:00:00.000+02:00,10,10,10,10,La zona de Alcala,Nada,Mejor de lo que esperaba,Ninguna,10.0
32,MADRID MONUMENTAL,AGOSTO,2023-08-19T00:00:00.000+02:00,10,10,9,10,Las anécdotas y datos históricos,La hora,,,9.666666666666666
;Mejor de lo que esperaba;,,,,,,,,,Sin comentarios,,,
34,MADRID EN FEMENINO,SEPTIEMBRE,2023-09-30T00:00:00.000+02:00,10,7,8,8,Las calles por las que hemos ido,Sin comentarios,Peor de lo que esperaba,"Estructurar, ordenar mejor el hilo de la explicación",8.333333333333334
28,HISTORIAS Y LEYENDAS DE MADRID,AGOSTO,2023-08-19T00:00:00.000+02:00,9,10,9,9,"Las calles por las que hemos ido, que no conocía",Alguna cosa que la guía no sabía,Mejor de lo que esperaba,Que esté más pensada para ser accesible,9.333333333333334
28,MADRID EN FEMENINO,ABRIL,2023-04-28T00:00:00.000+02:00,10,8,8,8,Las explicaciines,"El sonido, hace falta auriculares",Como esperaba,,8.666666666666666
27,MADRID EN FEMENINO,ABRIL,2023-04-28T00:00:00.000+02:00,10,10,10,10,Las explicaciones,Sin comentarios,Como esperaba,,10.0
21,MADRID EN FEMENINO,AGOSTO,2023-08-12T00:00:00.000+02:00,10,9,9,10,Las explicaciones,Sin comentarios,Mejor de lo que esperaba,,9.333333333333334
27,HISTORIAS Y LEYENDAS DE MADRID,SEPTIEMBRE,2023-09-23T00:00:00.000+02:00,9,9,9,9,Las explicaciones,Todo ha estado bien,Como esperaba,Anunciarlo mas,9.0
4,LA HISTORIA IMPRESCINDIBLE DE MADRID,ABRIL,2023-04-09T00:00:00.000+02:00,10,8,6,7,,Sin comentarios,Como esperaba,Mejorar la calidad del profesional de este recorrido.,8.0
